DATAFLOW,LAST UPDATE,freq,indic_ur,cities,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,ES022C,2020,296692,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,ES023C,2020,271717,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,ES024C,2020,368105,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,ES025C,2020,247604,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,ES026C,2020,106168,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,ES027C,2020,102791,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,ES028C,2020,98519,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,ES029C,2020,95001,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,ES030C,2020,103369,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,ES031C,2020,96255,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,ES032C,2020,84667,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,ES033C,2020,88703,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,ES034C,2020,77791,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,ES035C,2020,83663,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,ES036C,2020,78144,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,ES037C,2020,65560,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,ES038C,2020,83260,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,ES039C,2020,84202,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,ES040C,2020,75798,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,ES041C,2020,87484,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,ES042C,2020,78245,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,ES043C,2020,75504,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,ES044C,2020,70450,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,ES045C,2020,87076,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,ES046C,2020,64509,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,ES047C,2020,60988,,
